residence	address	registration	current_location 	company	birthdate	ssn	user_id	username	mail	name	blood_group	station_ID
	"Incrocio Gregori, 35 Piano 184090, Santa Tecla (SA)"	28 Sep 2020	(Decimal('-80.004689'), Decimal('37.669680'))	Modiano e figli	1966-05-04	TGLMTT84A52G804H	1275	lolitamorucci	isabella08@tiscali.it	Dott. Fabrizio Montalcini	AB-	316
	"Via Sante, 470010, Sammichele Di Bari (BA)"	2019-12-04	(Decimal('50.1034755'), Decimal('150.889543'))	Casale-Pasqua e figli		TMBLVR61M27C821K	1618	capuanaleone	mirko95@vodafone.it	Lauretta Bellò	A+	482
	"Hethurstr. 89915110 Sankt Goarshausen"	2020-12-06	(Decimal('68.767255'), Decimal('-51.583432'))	Dietz Holsten AG		323-46-6887	24	evamariastroh	roemertassilo@googlemail.com	Dipl.-Ing. Milan Roskoth	B-	510
	"Jesselallee 1/144026 Bergzabern"	21 Jun 2021	(Decimal('80.3732675'), Decimal('-64.664433'))	Wesack Süßebier GmbH		319-42-4326	1905	junkhans-christian	jopichlaszlo@gmx.de	Abdullah Hethur	AB-	398
	"Feira Abreu, 43 Saudade 72874074 Cardoso / SC"	07/23/2019, 00:00:00	(Decimal('-48.8252585'), Decimal('-43.424063'))	Nascimento Camargo e Filhos	1916-05-23	38719056400	202	carvalhomaria-alice	procha@bol.com.br	Kevin da Luz	A-	432
	02/23/2021, 00:00:00	(Decimal('80.870888'), Decimal('12.809605'))	株式会社山本通信	1968-01-31	227-33-1143	1329	kana29	ryoheitakahashi@gmail.com	伊藤 あすか	B-	311
	福岡県文京区東神田35丁目10番13号 無栗屋ハイツ803	2022/11/17	(Decimal('49.116681'), Decimal('-118.159852'))	高橋電気株式会社	1967-03-01	417-85-5093	892	kyosuke78	kumiko46@yahoo.com	山崎 京助	O-	624
	"234 Andrew Parkway Apt. 678
Victoriashire, WA 12240"	10/29/2023, 00:00:00	(Decimal('-59.8561775'), Decimal('161.027118'))	Trevino, Warner and Hodges		330-87-2812	478	jsmith	zsullivan@hotmail.com	Laurie Smith	B+	183
	"Largo Moura
Dom Silverio
23462-279 Silva / MT"	22 Jul 2021	(Decimal('27.072803'), Decimal('77.058447'))	Machado	1967-03-26	76590214352	1365	murilo89	manuellasouza@yahoo.com.br	Danilo Castro	O-	152
		2025-09-13	(Decimal('-43.823200'), Decimal('136.379925'))	Giannuzzi-Iacobucci Group	1967-10-12	TMBCRT91T30G494Y	204	jgeraci	giampaolomerisi@hotmail.it	Rodolfo Lancisi	B+	611
	奈良県横浜市神奈川区轟37丁目22番16号 ハイツ千束590	06/22/2021, 00:00:00	(Decimal('17.606344'), Decimal('36.879875'))	合同会社長谷川印刷		315-88-3334	2122	naokoyoshida	sakamotoyumiko@hotmail.com	松本 洋介	O+	184
	"Borgo Scotti, 365
32016, Spert (BL)"	2020/04/06	(Decimal('47.6445245'), Decimal('-154.641332'))	Ritacca-Marenzio SPA	1934-08-06	PSNRBT89H55F319S	178	wmontesano	finottoberenice@libero.it	Ermes Saffi	O-	508
	"Rodovia de Porto, 22
Monte Azul
55593017 Rodrigues / AL"	08/21/2024, 00:00:00	(Decimal('42.545007'), Decimal('-91.742744'))	Cardoso Ramos e Filhos	2000-02-17	10932564780	286	moreiraluiz-henrique	costahelena@gmail.com	Eloah Farias	A-	421
	"Gabriela-Schuchhardt-Ring 811
05958 Schwäbisch Gmünd"	2022-04-27	(Decimal('-86.254953'), Decimal('134.272500'))	Stiebitz	1918-01-07	719-68-8436	1253	sandra22	ggraf@gmail.com	Dipl.-Ing. Darius Seifert B.Sc.	O+	150
	"Conjunto de Aragão
Madre Gertrudes
93542634 Leão / PE"	2024/11/23	(Decimal('89.522687'), Decimal('144.238281'))	Sá Martins S.A.	2012-09-07	14807259601	2092	ymoreira	ana-liviamartins@ig.com.br	Dr. Raul Rodrigues	A+	50
		30 Aug 2023	(Decimal('16.3317665'), Decimal('-47.932174'))	株式会社田中保険	1930-05-04	141-64-4879	1782	inouehanako	tsubasatanaka@yahoo.com	林 直樹	B-	370
	静岡県長生郡一宮町鍛冶ケ沢38丁目11番2号 シティ津久戸町616	2024-07-18	(Decimal('-58.5572925'), Decimal('-129.224598'))	株式会社高橋水産	1928-05-15	205-08-7685	86	vmiura	katoyuta@gmail.com	吉田 幹	AB-	419
	"Jakob-Jessel-Weg 2-9
64502 Bad Kissingen"	06/26/2020, 00:00:00	(Decimal('-68.9457515'), Decimal('144.944532'))	Scheibe Scheuermann GmbH & Co. KGaA	1937-03-06	710-51-7656	1542	toralf74	roseilona@aol.de	Dr. Nicolaus Wieloch	A-	706
	"Marie-Bolzmann-Weg 52-11
13120 Mayen"	29 May 2025	(Decimal('82.4243295'), Decimal('72.272691'))	Lachmann GmbH	1934-08-06	188-72-9480	1652	ibender	egbertklotz@yahoo.de	Prof. Rolf Hande B.Eng.	A+	447
	東京都富津市柿木沢8丁目15番6号	2024/07/27	(Decimal('-40.732977'), Decimal('111.791773'))	合同会社前田ガス	1985-01-05	245-25-4941	369	murakamiakira	mmaeda@yahoo.com	田中 美加子	A+	133
	"1582 Cooke Key Suite 498
New Albertton, NV 07525"	12/08/2024, 00:00:00	(Decimal('9.4925685'), Decimal('58.528591'))	Sanchez-Delacruz	1998-05-16	056-03-2018	2015	beth09	gonzalezstephanie@hotmail.com	Karina Bolton	A-	61
	"Vicolo Massimiliano, 294
60027, Casenuove (AN)"	2020-01-21	(Decimal('-83.706682'), Decimal('-10.717628'))	Roccabonella, Gianvecchio e Foa Group	1938-03-04	GNTFLP15T53A587F	1118	ermes70	licia35@fastwebnet.it	Uberto Renzi-Perozzo	A-	628
	"Stretto Mirko, 122 Appartamento 10
98042, Pace Del Mela (ME)"	2022-03-19	(Decimal('-2.0802295'), Decimal('-32.671860'))	Calarco-Migliaccio Group	1938-01-02	PZZSTN64P10E626A	1977	jbalotelli	sommarugamarcella@libero.it	Giada Calgari	A-	284
