registration;latitude;longitude;birthdate;ssn;mail;blood_group;station_ID;user_id
2020-09-28;-80.004689;37.66968;1966-05-04;TGLMTT84A52G804H;isabella08@tiscali.it;AB-;316;
2019-12-04;50.1034755;150.889543;;TMBLVR61M27C821K;mirko95@vodafone.it;A+;482;
2020-12-06;68.767255;-51.583432;;323-46-6887;roemertassilo@googlemail.com;B-;510;
2021-06-21;80.3732675;-64.664433;;319-42-4326;jopichlaszlo@gmx.de;AB-;398;
2019-07-23;-48.8252585;-43.424063;1916-05-23;38719056400;procha@bol.com.br;A-;432;
2021-02-23;80.870888;12.809605;1968-01-31;227-33-1143;ryoheitakahashi@gmail.com;B-;311;
2022-11-17;49.116681;-118.159852;1967-03-01;417-85-5093;kumiko46@yahoo.com;O-;624;
2023-10-29;-59.8561775;161.027118;;330-87-2812;zsullivan@hotmail.com;B+;183;
2021-07-22;27.072803;77.058447;1967-03-26;76590214352;manuellasouza@yahoo.com.br;O-;152;
2025-09-13;-43.8232;136.379925;1967-10-12;TMBCRT91T30G494Y;giampaolomerisi@hotmail.it;B+;611;
2021-06-22;17.606344;36.879875;;315-88-3334;sakamotoyumiko@hotmail.com;O+;184;
2020-04-06;47.6445245;-154.641332;1934-08-06;PSNRBT89H55F319S;finottoberenice@libero.it;O-;508;
2024-08-21;42.545007;-91.742744;2000-02-17;10932564780;costahelena@gmail.com;A-;421;
2022-04-27;-86.254953;134.2725;1918-01-07;719-68-8436;ggraf@gmail.com;O+;150;
2024-11-23;89.522687;144.238281;2012-09-07;14807259601;liviamartins@ig.com.br;A+;50;
2023-08-30;16.3317665;-47.932174;1930-05-04;141-64-4879;tsubasatanaka@yahoo.com;B-;370;
2024-07-18;-58.5572925;-129.224598;1928-05-15;205-08-7685;katoyuta@gmail.com;AB-;419;
2020-06-26;-68.9457515;144.944532;1937-03-06;710-51-7656;roseilona@aol.de;A-;706;
2025-05-29;82.4243295;72.272691;1934-08-06;188-72-9480;egbertklotz@yahoo.de;A+;447;
2024-07-27;-40.732977;111.791773;1985-01-05;245-25-4941;mmaeda@yahoo.com;A+;133;
2024-12-08;9.4925685;58.528591;1998-05-16;056-03-2018;gonzalezstephanie@hotmail.com;A-;61;
2020-01-21;-83.706682;-10.717628;1938-03-04;GNTFLP15T53A587F;licia35@fastwebnet.it;A-;628;
2022-03-19;-2.0802295;-32.67186;1938-01-02;PZZSTN64P10E626A;sommarugamarcella@libero.it;A-;284;
2024-10-29;-44.030755;-179.871703;1959-09-28;891-82-2657;nortmann@googlemail.com;A-;57;
2020-08-24;87.216722;-85.134979;;71948650339;aurorafogaca@uol.com.br;O+;421;
2023-09-23;-81.3693865;-33.708558;;781-68-4915;frank49@gmx.de;B+;589;
2025-03-30;45.759414;170.876357;1941-10-29;387-65-1438;fsato@yahoo.com;B+;710;
2019-01-29;-12.2925165;127.981694;1926-10-20;128-76-7535;carterjessica@gmail.com;B-;471;
2021-09-16;55.9822785;-85.968305;;FTTMRN41A19D915U;dino91@gmail.com;AB-;142;
2024-03-10;-82.1166945;-15.262065;1911-08-01;PCLGRL24E23C823N;olgasegni@libero.it;AB+;682;
2022-06-15;39.406814;-44.611693;1971-08-01;885-21-5829;kumiko77@hotmail.com;B+;493;
2020-05-01;22.212229;104.70695;2014-10-10;SRGCML50S44H147L;fantinicassandra@yahoo.com;AB-;325;
2023-03-13;-47.1206135;6.318523;;473-32-8290;arzukobelt@aol.de;A-;621;
2019-08-10;88.415716;-100.862631;;366-86-4004;thomaskiller@gmail.com;B-;40;
2019-07-22;-13.7382475;-99.319811;;739-69-5710;takahashinanami@hotmail.com;O+;252;
2019-05-17;-77.5402355;-133.607307;1942-09-08;319-99-7748;lindseybutler@hotmail.com;O-;373;
2018-10-05;-58.188234;114.902904;;324-23-0775;krystynabarkholz@hotmail.de;B-;71;
2022-03-20;7.7507945;-42.846609;;711-49-8943;ryosukekimura@gmail.com;AB+;286;
2019-08-26;-62.4724915;61.509813;;95438720150;santosthomas@ig.com.br;O+;675;
2022-03-08;-22.085889;-61.966557;2008-07-25;561-73-7476;lorettanguyen@hotmail.com;AB-;108;
2019-11-06;-89.715583;-13.939763;2016-08-26;592-65-0555;thomas60@gmail.com;A+;691;
2022-05-05;-7.7349655;-136.883248;1949-07-07;BDGDNL53S28C782D;giovannaletta@tim.it;AB-;701;
2019-06-15;83.700325;-65.750514;1916-05-30;CTNPLA04B01H267Z;casagrandeisabella@tin.it;B+;636;
2020-03-27;18.778342;114.087728;;424-88-2538;sellersjason@gmail.com;A-;346;
2024-03-01;-77.430388;-145.835523;;80941356701;miguelvasconcelos@uol.com.br;B+;575;
2022-08-09;-72.5376255;-173.631226;;011-34-7180;dmiura@hotmail.com;A+;726;
2023-01-13;0.3008715;-172.690819;;882-95-4690;john23@hotmail.com;O-;547;
2019-06-21;61.3933205;70.390052;2000-06-05;17324065961;gomeskaique@bol.com.br;A+;326;
2024-11-25;-31.778543;154.74578;1989-09-01;274-79-0916;jyamamoto@yahoo.com;AB+;262;
2024-03-21;39.760149;5.115945;;311-03-1700;dduffy@hotmail.com;O-;119;
2019-08-20;-68.0070665;-79.980673;;960-61-8463;ronkaester@gmail.com;AB-;728;
2022-12-03;48.336552;-133.676639;1931-03-31;BDRFST66S49D440S;iborroni@vodafone.it;AB+;424;
